reason,count,category,subcategory
to put the individual in menopause for  months,2,negative,other_issues
to manage symptomsutrogestan causes estrogen levels to drop too much,2,negative,other_issues
adapting to bodys signalsmanaging tiredness,2,negative,other_issues
panic disorder symptoms were misdiagnosed,2,negative,other_issues
supporting gut health,2,negative,other_issues
bleeding as per gynecologists suggestion,2,negative,bleeding
anxiety,2,negative,anxiety_issues
doctors prescription,2,negative,other_issues
prescribed as a treatment for endometriosis,2,negative,other_issues
pain management,2,negative,pain
trauma managementpatches often out of stock,2,negative,other_issues
advised by a healthcare professional,2,negative,other_issues
to correct an imbalance in hormones,2,negative,other_issues
did not respond well to previous treatments,2,negative,other_issues
to prevent repeated utis,2,negative,other_issues
negative reaction,2,negative,other_issues
ruled out for estrogen,2,negative,other_issues
easier to feel well with a smaller dose,2,negative,other_issues
depressing state sweating issue,2,negative,depression_issues
depressiondifficulty sleeping,2,negative,sleep_issues
to maintain regular menstrual cycles and ovulation,2,negative,bleeding
symptoms of taking too much estrogen,2,negative,other_issues
inferred hormonal changes,2,negative,other_issues
illness,2,negative,other_issues
to induce menopause after a peephole surgery,2,negative,other_issues
zinc deficiency,2,negative,other_issues
incipient menstruation issues,2,negative,other_issues
may be too little,2,negative,other_issues
manage menopause symptoms,2,negative,other_issues
to address cell changes,2,negative,other_issues
discomfort in the abdomen,2,negative,pain
hormonal changes before menopausesymptoms tiredness depression irritability poor sleep convulsions,2,negative,sleep_issues
symptoms did not go away with the lowest dosehad to test the higher dose,2,negative,other_issues
the individual thinks the estradot patch has lost its effect,2,negative,other_issues
recommendation from a friend concerns about rancidity of other omega supplements test results showing imbalances and inflammation in the body,2,negative,other_issues
sleep problems,2,negative,sleep_issues
contraction every hour all night,2,negative,other_issues
manage eruptionsmanage mole pain,2,negative,pain
uncontrollable hunger and stomach pains,2,negative,pain
breast cancerhormonerelated,2,negative,cancer_fear
managing symptoms associated with perimenopause,2,negative,other_issues
no longer needed,2,negative,other_issues
to strengthen fragile mucous membranesto prevent urinary tract infections,2,negative,other_issues
perimenopauseside effects,2,negative,other_issues
adverse effect on stomach,2,negative,nausea_digestion
to save them for when they have the worst pain,2,negative,pain
apc resistance,2,negative,other_issues
managing low mood or depression during menopause,2,negative,depression_issues
got a rash from the patches,2,negative,other_issues
menopause symptoms and urine infection,2,negative,other_issues
needs to change places,2,negative,other_issues
manufacturer sold out patches,2,negative,other_issues
fragile mucous membranesrepeated urinary tract infections,2,negative,other_issues
to manage palpitations,2,negative,other_issues
to control long bleeds and breaks,2,negative,other_issues
horrible,2,negative,other_issues
dried out mucous membranesestrogen deficiency,2,negative,other_issues
abnormal bleeding,2,negative,bleeding
cofactors for b,2,negative,other_issues
desire for an alternative treatment due to severe seizures,2,negative,other_issues
predisposition to blood clots,2,negative,other_issues
you should be on the usual dose for your age,2,negative,other_issues
could not find the original tablets suggested by a pharmacist,2,negative,other_issues
part of a package of testsfor monitoring changes after  months,2,negative,other_issues
to avoid nighttime contractions and stomach problems,2,negative,nausea_digestion
managing symptoms of perimenopause,2,negative,other_issues
managing pmds symptoms,2,negative,other_issues
maintaining balance,2,negative,other_issues
increased daytime fatigue,2,negative,other_issues
managing symptoms associated with menopause and anxiety,2,negative,anxiety_issues
accidentally fell off in the shower,2,negative,other_issues
uneducated gynecologists often suggest that higher doses of estrogen are too high,2,negative,other_issues
stomach problems,2,negative,nausea_digestion
to induce bleedingto manage menopause symptomsduring pregnancy,2,negative,bleeding
cannot eat hormonesexperiences serious pmds symptoms,2,negative,other_issues
histamine intolerance due to estrogen dominance,2,negative,other_issues
side effects similar to menopauseclots in the lungs possibly related to covid and birth control pills,2,negative,other_issues
terrible pain and torrential bleeding switching from divigel,2,negative,pain
increased seizures during summer,2,negative,other_issues
sweating depression crying over everything,2,negative,depression_issues
to find the right level,2,negative,other_issues
cant find hormone patches anymore,2,negative,other_issues
to stop the bleedingto manage a new bleeding,2,negative,bleeding
managing migraines,2,negative,headache
not satisfied with divigel compared to estradot patch,2,negative,other_issues
difficulty obtaining previous patches,2,negative,other_issues
itching,2,negative,other_issues
managing osteoarthritis symptomsmaintaining joint health,2,negative,other_issues
to stop excessive bleeding,2,negative,bleeding
resumption of bleeding after stopping,2,negative,bleeding
other symptoms were still there,2,negative,other_issues
early menopause symptoms,2,negative,other_issues
postponed until september,2,negative,other_issues
anxiety symptoms,2,negative,anxiety_issues
does not want to medicate unnecessarilyconcerned about increased risk,2,negative,other_issues
high blood pressure,2,negative,other_issues
the problem is that if when starting the medicine had low levels of serotonin well then it is the same low dose that is washed around the system so no more serotonin is formed from the medicine,2,negative,other_issues
my doctor tells me to buy something like called htp short for hydroxytryptophan in the health food store,2,negative,other_issues
bleeding again from the tablets,2,negative,bleeding
switch from hormone patches,1,negative,other_issues
shuts down the own production of progesterone and creates more imbalance,1,negative,other_issues
breakthrough bleeding,1,negative,bleeding
surgery complications,1,negative,other_issues
sibo linked to histamine intolerancemenopauseincreased stress levels with anxiety attacks,1,negative,anxiety_issues
plantbasedhormonefreecan be bought without a prescription,1,negative,other_issues
had a huge reaction to the spray,1,negative,other_issues
low hormone levels,1,negative,other_issues
crampsdry mucous membranes,1,negative,pain
hot flashes,1,negative,other_issues
fertility concerns,1,negative,other_issues
painfree bowels with no urogestin,1,negative,pain
covid knocked out my hormone treatment,1,negative,other_issues
previous burnoutpalpitations,1,negative,other_issues
two nerve injuries,1,negative,other_issues
became depressed from them,1,negative,depression_issues
managing challenges of agingstabilizing blood sugar,1,negative,other_issues
hypofunction on the thyroid,1,negative,other_issues
side effects with previous hormone,1,negative,other_issues
to manage hot flushes and sweating,1,negative,other_issues
ran out of estrogen at the pharmacy in november,1,negative,other_issues
professors advice for osteoporosis prevention in premature climatenurses concern about how long the individual has been taking it,1,negative,other_issues
unavailability of patches,1,negative,other_issues
considering something bioidentical,1,negative,other_issues
bleedingpain,1,negative,pain
as part of an attempt to exercise more and eat right,1,negative,other_issues
swollen knee,1,negative,other_issues
hysterectomypersistent knee swelling despite treatments,1,negative,other_issues
as part of an attempt to eat right,1,negative,other_issues
looking for a natural and clean type of supplementdidnt want to eat hormones,1,negative,other_issues
difficulty with night sweats,1,negative,other_issues
to treat slight bladder prolapse cystocele,1,negative,other_issues
doctors decision,1,negative,other_issues
responding to symptoms of panic listlessness and lethargy after changing hormones,1,negative,other_issues
extreme heartburnextreme tiredness,1,negative,other_issues
inferred new living situation,1,negative,other_issues
test results showed underproductionhypothyroidism,1,negative,other_issues
very irregular bleeding,1,negative,bleeding
discomfort during removalred mark on stomach,1,negative,pain
fear of side effects,1,negative,other_issues
problem with genital area being dry,1,negative,other_issues
problem with dry eyes,1,negative,other_issues
to moisten and protect dry and fragile mucous membranes,1,negative,other_issues
noticed no difference with  puff after v,1,negative,other_issues
implied symptoms of premature ovarian failure pof,1,negative,ineffectiveness
prescribed as an alternative to estradiol,1,negative,other_issues
severe depressionpainful contractions,1,negative,pain
hormone patches are much milder than hormones in tablet form and there was a scaremongering about estrogen treatment being dangerous but now researchers have concluded that it is not as dangerous as previously thought,1,negative,other_issues
had burning itching every night with progestin,1,negative,pain
there was a scaremongering about estrogen treatment being dangerous but now researchers have concluded that it is not as dangerous as previously thought,1,negative,other_issues
hormonal patches are hard to get,1,negative,other_issues
prescribed,1,negative,other_issues
unknown side effects,1,negative,other_issues
side effects similar to menopauseclots in the lungs possibly related to covid and hormones,1,negative,other_issues
avoid starting any treatment that may not be necessary especially close to a gyn visit,1,negative,other_issues
regulating period after pregnancypreventing night sweats,1,negative,bleeding
gained eight lovely kgsaunt is in menopause and not depressed,1,negative,depression_issues
previous illness,1,negative,other_issues
to stop constant bleedingto induce a bleeding until her period stops,1,negative,bleeding
past incident with a clot in the lung from birth control pills,1,negative,other_issues
feeling badpain in stomach and back,1,negative,pain
asked doctor about other options due to seeing others get different results,1,negative,other_issues
hormone change,1,negative,other_issues
onset of menopause,1,negative,other_issues
recurrent urinary tract infections,1,negative,other_issues
lack of plastic,1,negative,other_issues
told to stop at,1,negative,other_issues
to prevent recurrent urinary tract infection,1,negative,other_issues
cant find hormone patches anymoredont know what replaces their patch with both estrogen and progesterone,1,negative,other_issues
to promote ovulationto potentially increase the chances of getting pregnant,1,negative,other_issues
femanest disappeared,1,negative,other_issues
tried different treatments,1,negative,other_issues
bleeding and breathing problems,1,negative,bleeding
rancid,1,negative,other_issues
according to my female kinesiologistunknown,1,negative,other_issues
body acheswaking up once an hour,1,negative,pain
difficulty in obtaining the medication,1,negative,other_issues
not explicitly statedbut mentioned taking novofem for  months,1,negative,other_issues
estradot cannot be obtained,1,negative,other_issues
blockages in the eyesproblems with ramparts,1,negative,other_issues
looking for a more manageable fiber source,1,negative,other_issues
to bleed out,1,negative,other_issues
opposite effects from uterogestation,1,negative,other_issues
concerned about riskswaited a long time for the tablets,1,negative,other_issues
persistent menopausal symptoms,1,negative,other_issues
inferred surgical procedure,1,negative,other_issues
manage osteoporosis,1,negative,other_issues
even though i wasnt supposed to,1,negative,other_issues
most people have damaged intestinal walls and problems with nutrient absorption,1,negative,other_issues
fear of becoming depressed,1,negative,depression_issues
managing caffeine intake,1,negative,other_issues
to make the bleeding stop,1,negative,bleeding
extending lifeincreasing quality of lifepreference for bioidentical hormones,1,negative,other_issues
has had hormonal breast cancercannot take hormonal preparations or phytoestrogens,1,negative,cancer_fear
too high to start with,1,negative,other_issues
to cope with stress and symptoms related to premenopause,1,negative,other_issues
believes that there is much to do before offering antidepressants,1,negative,other_issues
unknown hormone patchespossibly due to fat in eyelids for lipflow treatment,1,negative,other_issues
out of stockpharmacy delay,1,negative,other_issues
to manage hormonal balance,1,negative,other_issues
weight management,1,negative,other_issues
increases the risk of blood clots,1,negative,other_issues
heard that some people experience strong side effects,1,negative,other_issues
itchy hives,1,negative,other_issues
bioresonancefrequency treatmentnutritional deficiencies,1,negative,other_issues
lenzetto may be too weak,1,negative,other_issues
managing symptoms,1,negative,other_issues
to completely stop bleeding,1,negative,bleeding
early menopause,1,negative,other_issues
not satisfied with previous medication gel,1,negative,other_issues
histamine intolerance,1,negative,other_issues
history,1,negative,other_issues
feeling sick with provera causing nausea,1,negative,nausea_digestion
diagnosed with a condition requiring progesterone by a private womens clinic,1,negative,other_issues
every time i try to stop i get horrible cramps,1,negative,pain
has not given any side effects,1,negative,other_issues
pain in back and stomach,1,negative,pain
could not cope without them,1,negative,other_issues
managing premenopause symptoms,1,negative,other_issues
diagnosed with menopause,1,negative,other_issues
to find a medication that does not contain hormonesdue to hormonesensitive cancer and problems with ovulation,1,negative,cancer_fear
low ferritin levels causing forgetfulness,1,negative,other_issues
became nauseous and got migraines often,1,negative,headache
switching from estalis patch,1,negative,other_issues
feeling pythontirednessconvulsionsdementedpain,1,negative,pain
to heal the mucous membranesresistance to synthetic hormones,1,negative,other_issues
to heal the mucous membranes,1,negative,other_issues
probably side effects profuse sweats have stopped,1,negative,other_issues
experiencing side effects profuse sweats,1,negative,other_issues
insanely hypersensitive for the entire period i was taking them crying mostly all the time for everything,1,negative,bleeding
allergy to everything from mammals including milk and lactose,1,negative,other_issues
managing premenopause symptomsseeking advice from others,1,negative,other_issues
feels the need to start earlier than prescribed,1,negative,other_issues
to address heavy and prolonged menstruation,1,negative,other_issues
it was too much in the end with menosan  mg,1,negative,other_issues
to prevent serious diseases associated with premature menopause,1,negative,other_issues
dependency on daily use,1,negative,other_issues
other symptoms were still there and instead tested  natural and combined nutritional supplements,1,negative,other_issues
worsening depression and serious forgetfulness after weeks as psychopharmacological drugs were top,1,negative,worsening_conditions
preference for natural methods,1,negative,other_issues
seeking advice from others,1,negative,other_issues
was told by gynecologist that wouldnt bleed after finishing the course but new bleeding and period pain occurred,1,negative,pain
initially prescribed first but was then discontinued,1,negative,other_issues
patches are running out,1,negative,other_issues
mistake in the names of the medications,1,negative,other_issues
to prevent pregnancy,1,negative,other_issues
to stop alcohol consumption,1,negative,other_issues
implied deficiency of melatonin,1,negative,other_issues
to address histamine intolerance caused by estrogen dominance,1,negative,other_issues
avoiding periods while traveling,1,negative,bleeding
having migraines,1,negative,headache
advice from gyn,1,negative,other_issues
to see how the person feels,1,negative,other_issues
uncertainty about combining with corpus luteum hormone which is not on the prescription,1,negative,other_issues
blood clots in their family,1,negative,other_issues
felt too bad without it,1,negative,other_issues
started to feel low again,1,negative,other_issues
poison goiter,1,negative,other_issues
activates the parasympathetic nervous system calm system,1,negative,anxiety_issues
pharmacy replaced original hormone with an equivalent variety after three months it was like starting from scratch,1,negative,other_issues
advised by gyn,1,negative,other_issues
skeptical at first,1,negative,other_issues
to extinguish inflammation and repair cells,1,negative,other_issues
blood clot historyfamily history of blood clots,1,negative,other_issues
initial thought of needing antidepressantdifferent conclusion by psychiatrist,1,negative,other_issues
reset and control hormones later,1,negative,other_issues
couldnt stand it for   yearstried everything diet vitamin supplements etc,1,negative,other_issues
because i had such a bad time on provera and got urinary tract infections in association with taking them,1,negative,other_issues
recovery process following an operation,1,negative,other_issues
manage osteoporosisavoid weight gain from estrogen,1,negative,other_issues
to regulate the bleeding,1,negative,bleeding
to prevent brittle mucous membranes,1,negative,other_issues
concerned about side effects,1,negative,other_issues
hair loss due to breastfeeding and postcovid,1,negative,hair_issues
cardio stresses the body and affects sex hormones,1,negative,other_issues
concerns about hormone treatment side effects,1,negative,other_issues
to manage symptomsswitching to utrogestan to balance hormones,1,negative,other_issues
to balance hormonesutrogestan causes estrogen levels to drop too much,1,negative,other_issues
to balance hormonescauses estrogen levels to drop too much,1,negative,other_issues
to balance hormones,1,negative,other_issues
followup to hormonal breast cancer treatment,1,negative,cancer_fear
inferred deficiencies found via blood tests,1,negative,other_issues
sleep disturbances,1,negative,sleep_issues
unable to get hold of any,1,negative,other_issues
treating a stuffy nose,1,negative,other_issues
personality changelosing temper,1,negative,other_issues
new relationship,1,negative,other_issues
balancing hormonesadjusting hpa axiscalming and sleeppromoting effects,1,negative,sleep_issues
lack of progesterone leading to estrogen dominance,1,negative,other_issues
causes migraines,1,negative,headache
vaginal drynesshot flashes,1,negative,other_issues
anxietydepression,1,negative,anxiety_issues
unavailability of estradot,1,negative,other_issues
prolonged bleeding,1,negative,bleeding
lack of choice of bioidentical agents,1,negative,other_issues
body has played tricks,1,negative,other_issues
doctors suggestion to step up the dose,1,negative,other_issues
precautionary measure to avoid blood clots,1,negative,other_issues
to calm down the symptoms,1,negative,other_issues
own hormones play havoc,1,negative,other_issues
stops the bleeding temporarily,1,negative,bleeding
severe migraines,1,negative,headache
lack of sleeptirednessnight sweatslow mooddizzinessjoint pain,1,negative,pain
protective effect during menopause,1,negative,other_issues
unavailability of estradot discomfort with adhesive on plasters,1,negative,pain
feeling really bad from the progesterone tablets,1,negative,other_issues
progesterone is making the speaker low,1,negative,other_issues
fewer side effectsdoesnt have to pass through organs to be absorbed,1,negative,other_issues
turn off the inflammation in the body and balance the hormones,1,negative,other_issues
fearneed to try,1,negative,other_issues
to prevent cardiovascular diseasesto prevent osteoporosis,1,negative,other_issues
health reasons implied by reading the hormone carousel,1,negative,other_issues
doctors description as tough treatment,1,negative,other_issues
treat acne,1,negative,other_issues
thyroid problems,1,negative,other_issues
got sore breasts when had to change hormone patches,1,negative,pain
didnt find the hormones in prescription,1,negative,other_issues
suspected illnessmissed periodheredity factor mother menstruated for a long time,1,negative,bleeding
having had breast cancer,1,negative,cancer_fear
to avoid the risk of osteoporosis,1,negative,other_issues
inferred personal choice during perimenopause,1,negative,other_issues
making periods less abundant,1,negative,bleeding
adjusting dose to individual needs,1,negative,other_issues
if i dont take antihistamines i sneeze and snore all year round,1,negative,other_issues
past menopause,1,negative,other_issues
side effects swelling in knees and feet,1,negative,other_issues
irregular periods after removing a hormonal spiral,1,negative,bleeding
didnt experience any effect,1,negative,other_issues
following lchf or ketogenic diet,1,negative,other_issues
implied menopause due to cytostatics,1,negative,other_issues
prevent infertility due to cytostatics side effects,1,negative,other_issues
previous clot,1,negative,other_issues
inferred tried elocon as part of a series of treatments for a skin condition,1,negative,other_issues
for managing discomfortto prevent osteoporosis,1,negative,pain
unspecified but possibly related to sudden onset of symptoms,1,negative,other_issues
adhdmenopause,1,negative,other_issues
undermedicated,1,negative,other_issues
to address surface dryness and dry mouth,1,negative,other_issues
inferred tried locoid as part of a series of treatments for a skin condition,1,negative,other_issues
inferred tried hydrocortisone as part of a series of treatments for a skin condition,1,negative,other_issues
allergic reaction,1,negative,other_issues
for birth control purposes,1,negative,other_issues
genetic predisposition to blood clots,1,negative,other_issues
fear of potential risk due to family history of breast cancer,1,negative,cancer_fear
sensitivity when putting in medicationspotential need to increase dosage,1,negative,other_issues
considered as an alternativelicensed preparation,1,negative,other_issues
a clear sign of too low or weak estrogen,1,negative,other_issues
potential side effects such as blood clots,1,negative,other_issues
side effects from a stronger patch,1,negative,other_issues
side effectsaura migraines,1,negative,headache
achieving a normal dose of estrogen,1,negative,other_issues
tremendous deterioration in quality of lifewillingness to take any risk,1,negative,other_issues
not wanting to chance getting pregnantwanting to check if she has passed menopause,1,negative,other_issues
to manage symptoms related to perimenopause,1,negative,other_issues
normalization of periods after stopping,1,negative,bleeding
to control irregular bleeding,1,negative,bleeding
to manage symptoms,1,negative,other_issues
suggested by a nurse,1,negative,other_issues
believes it might be related to hormone balance,1,negative,other_issues
leg swelling caused by corpus luteum hormone,1,negative,other_issues
leg swelling,1,negative,other_issues
growth of a fibroid,1,negative,other_issues
managing menopause symptomsfinding a less sticky alternative to overthecounter lubricants,1,negative,other_issues
experiences excessive tiredness when taking  mg,1,negative,other_issues
to ensure safetyto avoid potential disasters or complications,1,negative,other_issues
endocrinologist prescription due to gynecologists refusal to deal with bioidentical progesterone,1,negative,other_issues
increased dose due to low estrogen level,1,negative,other_issues
prescription from endocrinologist reason unspecified,1,negative,other_issues
wanting to resume normal sexual activity,1,negative,other_issues
menopause causes changes in the body due to a drop in estrogen levels,1,negative,other_issues
contributes to normal collagen formation in the body,1,negative,other_issues
regulating periods,1,negative,bleeding
to keep the balance up between estrogen and progesterone,1,negative,other_issues
my stomach swelled had digestive problems and felt extremely sick when menstruation stopped,1,negative,nausea_digestion
to manage menstrual cycle,1,negative,bleeding
irregular periods,1,negative,bleeding
suspected uterine infection,1,negative,other_issues
discovery of cancerous tumor,1,negative,cancer_fear
trying to conceive,1,negative,other_issues
preparation for ivf,1,negative,other_issues
i wanted to find out the root cause of my condition,1,negative,other_issues
regulating periodsmenopause symptoms,1,negative,bleeding
to manage hot flashesimplied,1,negative,other_issues
felt sick all the time like they were getting a super cold tiredness headache and general malaise,1,negative,headache
wanting to see if regular exercise corrects the menstrual disturbances,1,negative,bleeding
to manage severe endometriosisto add as little estrogen as possible,1,negative,other_issues
to see if it is enough because i feel fine about  times a month with only utrogestan,1,negative,other_issues
other side effectsfear of blood clot,1,negative,other_issues
to avoid osteoporosis,1,negative,other_issues
to control period and avoid problems caused by a lack of estrogen,1,negative,bleeding
hormone replacement therapy due to menopause symptoms,1,negative,other_issues
symptoms waking up soaking wet in the morning slight headache,1,negative,headache
family history of breast cancerpersonal preference,1,negative,cancer_fear
increased risk of blood clotsunknown,1,negative,other_issues
family history of early menopausepersonal experiences of bodily changesage approaching never had unprotected sex,1,negative,other_issues
to manage depression,1,negative,depression_issues
to maintain a youthful appearance,1,negative,other_issues
stroke,1,negative,other_issues
managing constant spotting and short cycle,1,negative,bleeding
fertility issues,1,negative,other_issues
current supplements are not providing satisfactory results,1,negative,other_issues
provera makes the author sick,1,negative,other_issues
pms symptomsmenopausal symptoms,1,negative,other_issues
hypofunction of the thyroid gland,1,negative,other_issues
to decrease desire,1,negative,other_issues
unknowndifficulty in taking half a spraydiscrepancies in dosage recommendations,1,negative,other_issues
profuse and prolonged bleedingshortness of breathurgently calling the gynecology clinic,1,negative,bleeding
fear of cancer and blood clots,1,negative,cancer_fear
to manage endometriosis symptoms,1,negative,other_issues
to keep the vagina in formto avoid menstruation,1,negative,other_issues
gynecologists assessment,1,negative,other_issues
after having children,1,negative,other_issues
didnt feel depressed,1,negative,depression_issues
gained weight,1,negative,other_issues
vomiting,1,negative,nausea_digestion
constant period bleedingbreast pain,1,negative,pain
preferably with pure natural products to avoid a hard stomach and think they have more effect,1,negative,nausea_digestion
dry mucous membranesmenopause symptoms,1,negative,other_issues
eyelid inflammationextremely itchy eyes,1,negative,other_issues
negative side effects,1,negative,other_issues
lack of knowledge about menopause symptoms,1,negative,other_issues
recommendation from gynecologist,1,negative,other_issues
calm oneself downtake control of thoughts and feelingsfind joy and peace,1,negative,other_issues
sensitivityemotional instability,1,negative,other_issues
more information in the facebook groupfew knowledgeable gyns exist,1,negative,other_issues
to postpone the periodto continue taking them due to a history of miscarriages and to ensure continuation if pregnant,1,negative,bleeding
implied as a reason for anettes satisfaction with balansolja,1,negative,other_issues
hives,1,negative,other_issues
to use vitamin a,1,negative,other_issues
fear of side effects like increased weight and decreased sex drive,1,negative,other_issues
implied to treat pms which is a sign of premenopause,1,negative,other_issues
willingness to take any riskdeterioration in quality of life,1,negative,other_issues
got a rash from estradot patches,1,negative,other_issues
profuse sweating,1,negative,other_issues
advised not to use hormones due to having had hormonal breast cancer,1,negative,cancer_fear
fix the itching,1,negative,other_issues
preventive purposes,1,negative,other_issues
estrogen dominancemenopause,1,negative,other_issues
claim by a gynecologist that it was not the issue,1,negative,other_issues
balancing estrogen levels when taking progesterone,1,negative,other_issues
to find more stability,1,negative,other_issues
to manage excessive sweating,1,negative,other_issues
hormonal iuds provide enough progesterone,1,negative,other_issues
inferred switching to vaginal estrogen,1,negative,other_issues
wrong strength,1,negative,other_issues
very low blood countiron deficiency,1,negative,other_issues
concern about side effects,1,negative,other_issues
balancing intestinal bacteria after antibiotics,1,negative,other_issues
previous hormonal breast cancer in both breasts,1,negative,cancer_fear
hair loss related to menopause,1,negative,hair_issues
because you sweat a lot you lose minerals,1,negative,other_issues
itchy scalp caused by climate change,1,negative,other_issues
receiving the wrong medication,1,negative,other_issues
blood pressure increased,1,negative,other_issues
reacting negatively to progestin,1,negative,other_issues
implicit made condition worse,1,negative,other_issues
blood test,1,negative,other_issues
to avoid sugar as it seems to trigger contractions,1,negative,other_issues
doesnt have the same effect as plasters,1,negative,other_issues
depression,1,negative,depression_issues
it is herbal,1,negative,other_issues
became allergic to the patch i got an itchy rash under and around the patch,1,negative,other_issues
due to previous hormonal breast cancer,1,negative,cancer_fear
to stop losing hair and make it thick again,1,negative,hair_issues
norepinephrine is raised when serotonin is lowered especially before the period,1,negative,bleeding
to combat feelings of hopelessness,1,negative,other_issues
to address problems,1,negative,other_issues
to cope with swelling,1,negative,other_issues
manage profuse bleeding in premenopause,1,negative,bleeding
severe migraine profuse menstruation and dizziness,1,negative,headache
increased risk of breast cancer,1,negative,cancer_fear
to determine if pregnant,1,negative,other_issues
diagnosed with menopause by a gynecologist,1,negative,other_issues
trouble with back and hip all summercrooked backone leg shorter,1,negative,other_issues
clerks honesty and professional treatment,1,negative,other_issues
to regulate menstrual cycle,1,negative,bleeding
weight managementblood sugar levelsbone healthcardiovascular healthsleep and mood,1,negative,sleep_issues
