,subtitle,link
21,Man Utd 'consider Giroud transfer' as they eye ex-Prem ace to replace Ronaldo,https://www.thesun.co.uk/sport/20927714/man-utd-giroud-transfer-replace-ronaldo/
22,Man Utd and Chelsea transfer hit as ‘Bournemouth contact Juventus for McKennie’,https://www.thesun.co.uk/sport/20929902/man-utd-chelsea-mckennie-transfer-bournemouth-contact-juventus/
23,Messi 'back in Paris' as private jet touches down after World Cup celebrations,https://www.thesun.co.uk/sport/20927699/lionel-messi-lands-paris-private-jet-world-cup/
24,Nunez brutally trolled by Domino’s after Liverpool's Brentford horror show,https://www.thesun.co.uk/sport/20925147/liverpool-darwin-nunez-trolled-dominos-pizza-brentford/
25,‘Flabbergasted’ Richards & Carragher slam ‘shambolic’ Reds after horror show,https://www.thesun.co.uk/sport/20919689/liverpool-shambolic-brentford-richards-carragher/
26,Ronaldo could line up with ex-Arsenal and Man Utd aces in Messi All-Stars game,https://www.thesun.co.uk/sport/20922241/cristiano-ronaldo-lionel-messi-man-utd-arsenal-all-stars/
27,Arsenal flop Tavares sparks huge brawl after kicking out at rival in Marseille win,https://www.thesun.co.uk/sport/20921871/arsenal-nuno-tavares-marseille-red-card-fight-montpellier/
28,Neville and Carragher row over Liverpool & Man Utd ‘blowing money’ on transfers,https://www.thesun.co.uk/sport/20920894/neville-carragher-row-liverpool-man-utd-transfer/
29,Neville left stunned as Chelsea fork out record Enzo Fernandez transfer fee,https://www.thesun.co.uk/sport/20923274/chelsea-enzo-fernandez-transfer-fee-gary-neville-reacts/
30,Barcelona 'eye Zaha free transfer as club seek cut price replacement for Torres',https://www.thesun.co.uk/sport/20922725/barcelona-zaha-free-transfer-torres-raphinha/
31,Arsenal could enter Declan Rice transfer battle amid £70m price tag,https://www.thesun.co.uk/sport/20922381/arsenal-rice-transfer-west-ham/
32,Man Utd icon Rooney spotted at Wigan vs Hull supporting ex-Derby assistant,https://www.thesun.co.uk/sport/20919444/man-utd-wayne-rooney-spotted-stands-wigan-hull/
33,Sancho spotted back at Man Utd training ground TEN WEEKS since his last game,https://www.thesun.co.uk/sport/20917858/jadon-sancho-man-utd-training-ground-bournemouth/
34,Barcelona 'to ditch iconic yellow and red fourth kit' with new design revealed,https://www.thesun.co.uk/sport/20925546/barcelona-senyera-fourth-kit-axed-new-design/
35,Brighton to extend Trossard's contract in order to stave off transfer interest,https://www.thesun.co.uk/sport/20925043/brighton-leandro-trossard-contract-chelsea-newcastle-transfer/
36,Ex-Man Utd star's playing return at 45 years old - 18 months after retiring,https://www.thesun.co.uk/sport/football/20929344/ex-rangers-star-shock-playing-return-months-retired/
37,Messi's wife Antonela shows support for Shakira over bitter Gerard Pique breakup,https://www.thesun.co.uk/sport/20922029/lionel-messi-antonela-shakira-gerard-pique/
38,Arsenal fans think Mudryk is in London as they point out clues,https://www.thesun.co.uk/sport/20917507/arsenal-fans-mykhailo-mudryk-london-transfer/
39,Wolves boss Lopetegui rules out Nunes transfer after Liverpool ‘launch £44m bid’,https://www.thesun.co.uk/sport/20930425/lopetegui-rules-out-nunes-liverpool-44m-transfer/
40,Chelsea set to sign Enzo Fernandez for £112m Premier League record transfer fee,https://www.thesun.co.uk/sport/20921935/chelsea-fernandez-premier-league-record-transfer/
41,Man Utd bring forward Yann Sommer pursuit after Dubravka's Newcastle recall,https://www.thesun.co.uk/sport/20927806/man-utd-yann-sommer-transfer-dubravka-recall/
42,Foxes ‘want Dubravka transfer in January’ after Man Utd loan was terminated,https://www.thesun.co.uk/sport/20928343/leicester-martin-dubravka-transfer-newcastle-man-utd-loan/
43,"Ronaldo Al Nassr debut date REVEALED, Marcus Thuram LATEST, De Jong BOOST",https://www.thesun.co.uk/sport/20874338/man-utd-transfer-news-live-cristiano-ronaldo-marcus-thuram-de-jong/
44,"Arsenal in for Mudryk £62m second bid LATEST, Franck Kessie TWIST",https://www.thesun.co.uk/sport/20803775/arsenal-transfer-news-live-mykhaylo-mudryk-bid-latest-declan-rice/
45,Leeds sign Max Wober in £14m transfer for Salzburg defender,https://www.thesun.co.uk/sport/20922964/leeds-wober-transfer-salzburg/
46,Ferdinand compares Odegaard to Arsenal legend & calls Gunners 'real deal',https://www.thesun.co.uk/sport/20922812/ozil-ferdinand-mozart-odegaard-arsenal-legend/
47,Emile Smith Rowe set to make Arsenal return at Oxford after six months out,https://www.thesun.co.uk/sport/20924948/arsenal-emile-smith-rowe-injury-return-oxford/
48,Ten Hag reveals he won't 'burn money' in Man Utd's hunt for a new striker,https://www.thesun.co.uk/sport/20921024/man-utd-transfer-news-ten-hag-january-signings/
49,Premier League: Get up to £50 back as CASH if any of your first five bets lose,https://www.thesun.co.uk/sport/betting-tips/20003921/get-50-cash-back-football-bets-paddy-power/
50,Bet £5 on the Premier League and get £20 in free bets with Ladbrokes,https://www.thesun.co.uk/sport/betting-tips/19780272/ladbrokes-20-football-free-bets/
51,The best online casinos in the UK: Top 10 casino sites for January 2023,https://www.thesun.co.uk/betting/20803800/the-best-online-casinos-in-the-uk/
52,Haller back in Dortmund training six months after testicular cancer diagnosis,https://www.thesun.co.uk/sport/20922125/sebastien-haller-dortmund-training-testicular-cancer/
53,"Barcelona fined over £700,000 for Financial Fair Play breach regarding transfers",https://www.thesun.co.uk/sport/20928730/barcelona-fined-breaching-fair-play-rules/
54,Ten Hag admits he has ‘reservations’ over recalling Diallo from Sunderland loan,https://www.thesun.co.uk/sport/20926174/man-utd-ten-hag-reservations-diallo-sunderland-loan/
55,Scarborough v Darlington stopped for 40 minutes after female official abused,https://www.thesun.co.uk/sport/20919751/scarborough-darlington-delayed-abuse-female-official/
56,Legend Pele turned Santos into globetropping entertainers and world champions,https://www.thesun.co.uk/sport/20922975/pele-santos-coffin-champions/
57,Argentina's wild World Cup celebrations born from history & power of football,https://www.thesun.co.uk/sport/20861201/argentina-world-cup-celebrations-history/
58,Spurs fans slam Levy but he's built world-class stadium and hired elite boss,https://www.thesun.co.uk/sport/20919869/dave-kidd-spurs-daniel-levy-antonio-conte-champions-league/
59,Diletta Leotta stuns in black dress as she celebrates New Year with Loris Karius,https://www.thesun.co.uk/sport/20923632/diletta-leotta-loris-karius/
60,Kevin Trapp's Wag Izabel Goulart shows off bum as she tops up tan on holiday,https://www.thesun.co.uk/sport/20916631/kevin-trapp-wag-izabel-goulart-poses-bikini-holiday/
61,Mexico's sexiest fan goes topless in tight leggings and Santa hat in Xmas post,https://www.thesun.co.uk/sport/20876440/mexico-yanet-garcia-topless-skintight-santa-christmas/
